Case,Year,Cause of Tsunami,Focal Depth (kilometers),Magnitude,Country,Locationname,Latitude,Longitude,Height,Intensity,Deaths,Missing,Injuries,Damage (Million USD),Houses Destroyed,Houses Damaged
224,1994,Earthquake,10,7,USA,N. CALIFORNIA,40.402,-125.68,0.07,-3,,,,,,
225,1994,Earthquake,14,8.3,RUSSIA,S. KURIL ISLANDS,43.773,147.321,10.4,2.6,11,,382,,,
226,1994,Earthquake,17,6.8,INDONESIA,HALMAHERA,-1.258,127.98,3,1.5,1,,52,,,500
227,1994,Earthquake,33,7.3,RUSSIA,S. KURIL ISLANDS,43.905,147.916,0.2,-3,,,,,,
228,1994,Earthquake,32,7.1,PHILIPPINES,PHILIPPINE ISLANDS,13.525,121.067,7.3,2.1,81,,225,3.7,797,3288
229,1994,Earthquake,27,7.8,JAPAN,"TOHUKU, JAPAN",40.525,143.419,0.53,,3,,200,170.4,,
230,1995,Earthquake,22,6.9,JAPAN,"KOBE, JAPAN",34.583,135.018,0.34,-2,5502,,36896,100000,200000,
231,1995,Earthquake,21,7.4,SAMOA,SAMOA ISLANDS,-15.199,-173.529,0.09,-1.5,,,,,,
232,1995,Earthquake,21,7.2,PHILIPPINES,SAMAR ISLAND,12.059,125.58,0.2,-2,,,,,,
233,1995,Earthquake,23,6.8,PHILIPPINES,SAMAR ISLAND,12.047,125.92,0.2,-2,,,,,,
234,1995,Earthquake,20,7.7,NEW CALEDONIA,LOYALTY ISLANDS,-23.008,169.9,0.5,-2,,,,,,
235,1995,Earthquake,11,7.1,RUSSIA,SAKHALIN ISLAND,52.629,142.827,0.1,-2,1989,,750,300,,
236,1995,Earthquake,46,8,CHILE,NORTHERN CHILE,-23.34,-70.294,3,1.5,3,,58,1.791,115,
237,1995,Earthquake,30,7.7,PAPUA NEW GUINEA,SOLOMON SEA,-5.799,154.178,0.6,-1.5,,,,,,
238,1995,Earthquake,33,8,MEXICO,S. MEXICO,19.055,-104.205,11,2.5,50,,200,,,
239,1995,Earthquake,28,7.1,JAPAN,RYUKYU ISLANDS,27.929,130.175,2.59,1.5,,,1,,,
240,1995,Earthquake,20,6.7,CHILE,NORTHERN CHILE,-28.906,-71.417,0.1,-3,,,,,,
241,1995,Earthquake,33,7.9,RUSSIA,S. KURIL ISLANDS,44.663,149.3,1.1,0.5,,,,,,
242,1996,Earthquake,24,7.9,INDONESIA,SULAWESI,0.729,119.931,3.43,1.8,9,,63,1.2,400,
243,1996,Earthquake,33,8.2,INDONESIA,IRIAN JAYA,-0.891,136.952,7.7,1.8,164,,432,4.2,5043,
244,1996,Earthquake,10,7.5,PERU,N. PERU,-9.593,-79.587,5.1,1.9,12,,57,,15,22
245,1996,Earthquake,21,7.1,MEXICO,MEXICO,15.978,-98.07,0.1,-3,,,,,,
246,1996,Earthquake,33,7.9,USA,"ANDREANOF ISLANDS, AK",51.564,-177.632,0.51,0.5,,,,,,
247,1996,Earthquake,24,7.3,USA,"ANDREANOF ISLANDS, AK",51.478,-176.847,0.18,-1.5,,,,,,
248,1996,Earthquake,33,5.7,JAPAN,HONSHU ISLAND,31.555,139.931,0.3,-2,,,,,,
249,1996,Earthquake,10,6.9,CHILE,EASTER ISLAND REGION,-22.118,-113.436,0.09,-2.5,,,,,,
250,1996,Earthquake,10,6.6,JAPAN,KYUSHU ISLAND,30.568,131.093,0.2,-2.5,,,,,,
251,1996,Earthquake,22,6.7,JAPAN,KYUSHU ISLAND,31.885,131.468,0.55,0.5,,,,,,
252,1996,Earthquake,33,7.7,PERU,S. PERU,-14.993,-75.675,0.4,-1,14,,560,,,4000
253,1996,Earthquake,49,6.7,JAPAN,SEA OF JAPAN,31.789,131.314,0.2,-2,,,,,,
254,1997,Earthquake,33,7.7,SOLOMON ISLANDS,SANTA CRUZ IS. VANUATU,-12.584,166.676,3,-2,,,,,7,
255,1997,Earthquake,10,6.2,JAPAN,S. OF HONSHU ISLAND,31.959,141.878,0.03,,,,,,,
256,1997,Earthquake,167,7.7,TONGA,TONGA ISLANDS,-22.1,-176.77,0.1,,,,,,,
257,1997,Earthquake,33,7.8,RUSSIA,KAMCHATKA,54.841,162.035,8,0.5,,,,,,
258,1998,Earthquake,33,7.5,TAIWAN,TAIWAN:  SOUTHEAST OF,22.306,125.308,0.13,,,,,,,
259,1999,Earthquake,13,7.6,TURKEY,"KOCAELI, TURKEY",40.76,29.97,2.52,,17118,,50000,20000,,50000
260,1999,Earthquake,33,7.5,VANUATU,VANUATU ISLANDS,-16.423,168.214,6.6,,10,,100,,,
261,2000,Earthquake,26,7.6,INDONESIA,SULAWESI,-1.105,123.573,6,,46,,264,30,10000,
262,2000,Earthquake,10,7.9,AUSTRALIA,SOUTH INDIAN OCEAN,-13.802,97.453,0.3,,,,,,,
263,2000,Earthquake,10,6.1,JAPAN,"KOZU-SHIMA ISLAND, HONSHU",34.221,139.131,0.07,,1,,,,,
264,2000,Earthquake,10,6.1,JAPAN,HONSHU: S COAST,34.319,139.26,0.07,,,,10,,,20
265,2000,Earthquake,10,6.5,JAPAN,HONSHU: S COAST,33.901,139.376,0.14,,,,1,,,
266,2000,Earthquake,33,8,PAPUA NEW GUINEA,NEW IRELAND,-3.98,152.169,3,,2,,,,,
267,2001,Earthquake,33,8.4,PERU,S. PERU,-16.265,-73.641,8.8,,103,138,2713,200,25399,
268,2001,Earthquake,14,6.8,TAIWAN,TAIWAN,23.954,122.734,0.12,,,,,,,
269,2002,Earthquake,21,7.2,VANUATU,VANUATU ISLANDS,-17.6,167.856,3,-4.14,,,,,,
270,2002,Earthquake,31,7.5,PHILIPPINES,"MINDANAO ISLAND, PHILIPPINES",6.033,124.249,3,,15,,100,1.714,,800
271,2002,Earthquake,33,7.1,TAIWAN,TAIWAN,24.279,122.179,0.2,,5,,200,,100,
272,2002,Earthquake,13,7.6,PAPUA NEW GUINEA,BISMARCK SEA,-3.302,142.945,5.5,1.08,4,,70,,,
273,2002,Earthquake,21,6.5,INDIA,"ANDAMAN ISLANDS, INDIA",13.036,93.068,,,2,,,,40,
274,2003,Earthquake,33,7.3,SOLOMON ISLANDS,SOLOMON ISLANDS,-10.491,160.77,2,,,,,,,
275,2003,Earthquake,24,7.5,MEXICO,S. MEXICO,18.77,-104.104,0.61,0.5,29,,300,,2005,6615
276,2003,Earthquake,12,6.8,ALGERIA,N. ALGERIA,36.964,3.634,3,1.5,2266,,10261,5000,43000,
277,2003,Earthquake,8,5.7,ALGERIA,ALGIERS,36.939,3.578,0.08,,9,,200,,,
278,2003,Earthquake,27,8.3,JAPAN,HOKKAIDO ISLAND,41.815,143.91,4.4,,,,755,90,,
279,2003,Earthquake,10,7,JAPAN,E. HONSHU ISLAND,37.812,142.619,0.32,,,,,,,
280,2003,Earthquake,33,7.8,USA,"RAT ISLANDS, ALEUTIAN ISLANDS, AK",51.146,178.65,0.33,,,,,,,
281,2003,Earthquake,10,6.1,NEW CALEDONIA,LOYALTY ISLANDS,-22.107,169.35,0.15,,,,,,,
282,2004,Earthquake,17,6.7,INDONESIA,SERAM ISLAND,-3.12,127.4,,,,,,,,
283,2004,Earthquake,27,5.3,JORDAN,DEAD SEA,31.675,35.551,1,,,,4,,,
284,2004,Earthquake,14,7.2,JAPAN,SOUTH COAST HONSHU ISLAND,33.07,136.618,0.63,,,,4,,,
285,2004,Earthquake,10,7.4,JAPAN,SOUTH COAST HONSHU ISLAND,33.184,137.071,0.93,,,,40,,,
286,2004,Earthquake,10,6.6,CANADA,VANCOUVER ISLAND,49.277,-128.772,0.11,,,,,,,
287,2004,Earthquake,10,7.5,INDONESIA,KEPULAUAN ALOR,-8.152,124.868,,,34,,400,,781,16712
288,2004,Earthquake,14,6.3,GUADELOUPE (FRENCH TERRITORY),"BASSE-TERRE, LES SAINTES",15.679,-61.706,0.7,,,,,,,
289,2004,Earthquake,10,7.1,NEW ZEALAND,PUYSEGUR TRENCH,-46.676,164.721,,,,,,,,
290,2004,Earthquake,39,7,JAPAN,HOKKAIDO ISLAND,43.006,145.119,0.12,,,,24,,,
291,2004,Earthquake,10,8.1,AUSTRALIA,MACQUARIE ISLAND,-49.312,161.345,0.3,,,,,,,
292,2004,Earthquake,30,9.1,INDONESIA,OFF W. COAST OF SUMATRA,3.316,95.854,50.9,,227898,,,10000,,
293,2005,Earthquake,28,6.6,JAPAN,E. HONSHU ISLAND,34.064,141.491,0.39,,,,,,,
294,2005,Earthquake,30,8.7,INDONESIA,INDONESIA,2.085,97.108,4.2,,1313,,340,,300,
295,2005,Earthquake,19,6.7,INDONESIA,KEPULAUAN MENTAWAI,-1.644,99.607,0.4,,,,,,,
296,2005,Earthquake,10,7.2,USA,N. CALIFORNIA,41.301,-125.97,0.1,,,,,,,
297,2005,Earthquake,36,7.2,JAPAN,E. COAST HONSHU ISLAND,38.276,142.039,0.05,,,,56,,1,
298,2005,Earthquake,11,7,JAPAN,E. COAST HONSHU ISLAND,38.107,144.896,0.42,,,,,,,
299,2006,Earthquake,30,6.7,INDONESIA,SERAM ISLAND,-3.595,127.214,3.5,,4,,,1,241,
300,2006,Earthquake,55,8,TONGA,TONGA,-20.187,-174.123,0.27,,,,1,,,
301,2006,Earthquake,34,7.7,INDONESIA,SOUTH OF JAVA,-9.254,107.411,20.9,,802,,498,55,1623,
302,2006,Earthquake,28,6.9,SAMOA,SAMOA ISLANDS,-16.592,-172.033,0.08,,,,,,,
303,2006,Earthquake,39,6.7,USA,HAWAII,19.878,-155.935,0.1,,,,,,,
304,2006,Earthquake,10,8.3,RUSSIA,S. KURIL ISLANDS,46.592,153.266,21.9,,,,1,,,
305,2006,Earthquake,10,7,CHINA,TAIWAN,21.799,120.547,0.07,,2,,40,,,
306,2007,Earthquake,10,8.1,RUSSIA,S. KURIL ISLANDS,46.243,154.524,0.4,,,,,,,
307,2007,Earthquake,34,7.1,VANUATU,VANUATU ISLANDS,-20.617,169.357,0.08,,,,,,,
308,2007,Earthquake,8,6.7,JAPAN,HONSHU: W COAST,37.336,136.588,0.1,,1,,150,,513,
309,2007,Earthquake,10,8.1,SOLOMON ISLANDS,SOLOMON ISLANDS,-8.46,157.044,12.1,,54,,,,2500,500
310,2007,Earthquake,10,6.6,JAPAN,HONSHU: W COAST,37.57,138.478,,,9,,1088,,875,
311,2007,Earthquake,5,6.2,RUSSIA,TATAR STRAIT,47.116,141.798,0.19,,2,,12,,11,20
312,2007,Earthquake,21,6.7,USA,"ALEUTIAN ISLANDS, AK",51.307,-179.971,0.03,,,,,,,
313,2007,Earthquake,39,8,PERU,S. PERU,-13.386,-76.603,10.05,,514,,1090,,39700,
314,2007,Earthquake,35,7.2,SOLOMON ISLANDS,SANTA CRUZ ISLANDS,-11.61,165.762,0.05,,,,,,,
315,2007,Earthquake,34,8.4,INDONESIA,SUMATRA,-4.438,101.367,5,,25,,161,,56425,
316,2007,Earthquake,10,7.4,NEW ZEALAND,AUCKLAND ISLANDS,-49.418,163.954,0.25,,,,,,,
317,2007,Earthquake,40,7.7,CHILE,NORTHERN CHILE:  ANTOFAGASTA,-22.247,-69.89,0.28,,2,,65,,,
318,2007,Earthquake,156,7.4,MARTINIQUE (FRENCH TERRITORY),,14.944,-61.274,,,,,,,,
319,2007,Earthquake,153,7.8,KERMADEC ISLANDS,KERMADEC ISLANDS,-25.996,-177.514,0.03,,,,,,,
320,2008,Earthquake,25,6.5,INDONESIA,SUMATRA,-2.486,99.972,0.12,,,,,,,
321,2008,Earthquake,35,7.3,NEW CALEDONIA,LOYALTY ISLANDS,-20.071,168.892,0.16,,,,,,,
322,2008,Earthquake,22,6.9,JAPAN,OFF EAST COAST OF HONSHU ISLAND,37.552,142.214,0.2,,,,,,,
323,2008,Earthquake,25,6.8,JAPAN,HOKKAIDO ISLAND,41.892,143.754,0.09,,6,,77,,,1000
324,2008,Earthquake,30,7.3,INDONESIA,SULAWESI,1.271,122.091,0.13,,6,,77,,,1000
325,2009,Earthquake,17,7.6,INDONESIA,NEAR NORTH COAST,-0.414,132.885,0.39,,5,,250,,,840
326,2009,Earthquake,36,7.4,RUSSIA,KAMCHATKA,46.857,155.154,0.11,,,,,,,
327,2009,Earthquake,22,7.2,INDONESIA,CELEBES SEA,3.884,126.397,0.13,,,,64,,,597
328,2009,Earthquake,34,7.6,TONGA,TONGA,-23.046,-174.659,0.15,,,,,,,
329,2009,Earthquake,10,7.3,HONDURAS,OFF COAST,16.72,-86.236,4,,7,,40,,135,25
330,2009,Earthquake,12,7.8,NEW ZEALAND,OFF WEST COAST OF SOUTH ISLAND,-45.762,166.562,0.47,,,,,,,
331,2009,Earthquake,40,6.4,JAPAN,HONSHU: S COAST,34.743,138.264,0.6,,1,,123,,5192,
332,2009,Earthquake,20,6.7,INDONESIA,SUMATRA,-1.479,99.49,0.18,,,,9,,,
333,2009,Earthquake,18,8,SAMOA,SAMOA ISLANDS,-15.489,-172.095,22.35,,192,,7,200,,
334,2009,Earthquake,81,7.5,INDONESIA,SUMATRA,-0.72,99.867,0.27,,1117,,1214,2200,,181665
335,2009,Earthquake,45,7.6,VANUATU,VANUATU ISLANDS,-13.006,166.51,0.31,,,,,,,
336,2010,Earthquake,26,6.6,SOLOMON ISLANDS,SOLOMON ISLANDS,-8.743,157.477,0.01,,,,,,,
337,2010,Earthquake,25,7.1,SOLOMON ISLANDS,SOLOMON ISLANDS,-8.799,157.346,3,,,,,,16,60
338,2010,Earthquake,15,6.8,SOLOMON ISLANDS,SOLOMON ISLANDS,-9.019,157.551,0.03,,,,,,,
339,2010,Earthquake,13,7,HAITI,HAITI &amp; DOMINICAN REPUBLIC,18.457,-72.533,3,,316000,,300000,8000,97294,188383
340,2010,Earthquake,23,8.8,CHILE,OFF SOUTHERN COAST,-36.122,-72.898,29,,521,56,12000,30000,,500000
341,2010,Earthquake,11,6.9,CHILE,CENTRAL CHILE,-34.29,-71.891,0.14,,,,,,,
342,2010,Earthquake,31,7.8,INDONESIA,SUMATRA,2.383,97.048,0.44,,,,,,,
343,2010,Earthquake,35,7.5,INDIA,LITTLE NICOBAR ISLAND,7.881,91.936,0.03,,,,,,,
344,2010,Earthquake,25,7.2,VANUATU,VANUATU ISLANDS,-17.541,168.069,0.23,,,,,,,
345,2010,Earthquake,10,6.9,USA TERRITORY,"GUAM, MARIANA ISLANDS",12.484,141.476,0.07,,,,,,,
346,2010,Earthquake,20,7.8,INDONESIA,SUMATRA,-3.487,100.082,16.9,,431,,,39,700,
347,2010,Earthquake,14,7.4,JAPAN,BONIN ISLANDS,26.901,143.698,0.13,,,,,,,
348,2010,Earthquake,16,7.3,VANUATU,VANUATU ISLANDS,-19.702,167.947,0.15,,,,,,,
349,2011,Earthquake,24,6.5,VANUATU,VANUATU ISLANDS,-19.157,168.311,0.03,,,,,,,
350,2011,Earthquake,28,6.8,CHILE,OFF COAST,-36.474,-73.125,0.15,,,,,,,
351,2011,Earthquake,32,7.5,JAPAN,HONSHU ISLAND,38.435,142.842,0.6,,,,,,,
352,2011,Earthquake,30,9,JAPAN,HONSHU ISLAND,38.297,142.372,38.9,,18486,,6146,220000,127511,273796
353,2011,Earthquake,42,7.1,JAPAN,E. COAST HONSHU ISLAND,38.276,141.588,0.08,,3,,132,,,
354,2011,Earthquake,52,7.3,USA,"ATKA, ALEUTIAN ISLANDS, AK",52.05,-171.836,0.1,,,,,,,
355,2011,Earthquake,17,7.6,NEW ZEALAND,KERMADEC ISLANDS,-29.539,-176.34,1.2,,,,,,,
356,2011,Earthquake,23,7,JAPAN,OFF EAST COAST OF HONSHU ISLAND,38.034,143.264,0.09,,,,,,,
357,2011,Earthquake,32,7.1,VANUATU,VANUATU ISLANDS,-18.365,168.143,0.18,,,,,,,
358,2011,Earthquake,28,7,VANUATU,VANUATU ISLANDS,-18.311,168.218,0.18,,,,,,,
359,2011,Earthquake,32,6.8,USA,"FOX ISLANDS, ALEUTIAN ISLANDS, AK",52.171,-171.708,0.06,,,,,,,
360,2011,Earthquake,33,7.4,NEW ZEALAND,KERMADEC ISLANDS,-28.993,-176.238,0.14,,,,,,,
361,2012,Earthquake,23,7,VANUATU,VANUATU ISLANDS,-17.827,167.133,0.08,,,,,,,
362,2012,Earthquake,12,6.9,JAPAN,HOKKAIDO ISLAND,40.887,144.944,0.2,,,,,,,
363,2012,Earthquake,20,7.4,MEXICO,S. MEXICO,16.493,-98.231,0.2,,2,,13,,800,
364,2012,Earthquake,20,8.6,INDONESIA,OFF W. COAST OF N SUMATRA,2.327,93.063,,,10,,12,,,
365,2012,Earthquake,25,8.2,INDONESIA,OFF W. COAST OF N SUMATRA,0.802,92.463,,,,,,,,
366,2012,Earthquake,11,6.3,VANUATU,VANUATU ISLANDS,-18.972,168.741,,,,,,,,
367,2012,Earthquake,28,7.3,EL SALVADOR,OFF THE COAST,12.139,-88.59,0.36,,,,,,,
368,2012,Earthquake,28,7.6,PHILIPPINES,PHILIPPINE ISLANDS,10.811,126.638,0.15,,1,,1,0.3,,
369,2012,Earthquake,35,7.6,COSTA RICA,COSTA RICA,10.085,-85.315,0.16,,2,,20,,,
370,2012,Earthquake,14,7.7,CANADA,BRITISH COLUMBIA,52.788,-132.101,12.98,,1,,,,,
371,2012,Earthquake,24,7.3,GUATEMALA,GUATEMALA,13.988,-91.895,0.35,,48,,155,,2769,7561
372,2012,Earthquake,31,7.2,JAPAN,OFF EAST COAST OF HONSHU ISLAND,37.89,143.949,1,,,,11,,,
373,2013,Earthquake,10,7.5,USA,"SOUTHEASTERN ALASKA, AK",55.393,-134.652,1.5,,,,,,,
374,2013,Earthquake,24,7.9,SOLOMON ISLANDS,SANTA CRUZ ISLANDS,-10.766,165.114,,,10,,15,,588,478
375,2013,Earthquake,21,7,SOLOMON ISLANDS,SANTA CRUZ ISLANDS,-10.928,166.018,,,,,,,,
376,2013,Earthquake,17,6.5,NEW ZEALAND,COOK STRAIT,-41.704,174.337,0.07,,,,5,,,35
377,2013,Earthquake,10,6.5,NEW ZEALAND,WELLINGTON,-41.767,174.061,,,,,,,,
378,2013,Earthquake,26,7.1,JAPAN,E. COAST HONSHU ISLAND,37.149,144.679,0.4,,,,,,,
379,2013,Earthquake,10,7.8,ANTARCTICA,SCOTIA SEA,-60.296,-46.362,0.15,,,,,,,
380,2014,Earthquake,20,6.7,CHILE,NORTHERN CHILE,-19.925,-70.628,,,,,,,,
381,2014,Earthquake,20,8.2,CHILE,NORTHERN CHILE,-19.642,-70.817,4.4,,,,,,,
382,2014,Earthquake,40,7.6,CHILE,NORTHERN CHILE,-20.4,-70.135,,,,,,,,
383,2014,Earthquake,29,7.6,SOLOMON ISLANDS,SOLOMON ISLANDS,-11.315,162.211,,,,,,,,
384,2014,Earthquake,35,7.4,SOLOMON ISLANDS,SOLOMON ISLANDS,-11.451,162.069,,,,,,,,
385,2014,Earthquake,24,7.2,MEXICO,GREYMOUTH,17.552,-100.816,,,,,,,,127
386,2014,Earthquake,31,7.5,PAPUA NEW GUINEA,SOLOMON SEA,-6.72,154.931,,,,,,,,
387,2014,Earthquake,20,6.9,NEW ZEALAND,"S OF RAOUL ISLAND, KERMADEC ISLANDS",-30.118,-177.67,0.13,,,,,,,
388,2014,Earthquake,108,7.9,USA,"ALEUTIAN ISLANDS, AK",51.797,178.76,0.17,,,,,,,
389,2014,Earthquake,11,6.5,JAPAN,SANRIKU,37.04,142.425,0.2,,,,,,,
390,2014,Earthquake,10,6.1,USA,ENGLAND,58.358,-137.13,0.08,,,,,,,
391,2014,Earthquake,16,7.1,CHILE,EASTER ISLAND REGION,-32.115,-110.779,,,,,,,,
392,1951,Earthquake and Landslide,100,6,NICARAGUA,COSIGUINA VOLCANO,13,-87.5,,,1000,,,,,
393,1953,Earthquake and Landslide,33,6.4,FIJI,FIJI ISLANDS,-18.3,178.2,15,1,7,,12,,,
394,1954,Earthquake and Landslide,,6.7,ALGERIA,SEA OF ALBORAN,36.283,1.467,0.33,,1243,,5000,6,20000,
395,1958,Earthquake and Landslide,35,7.8,USA,"SE. ALASKA, AK",58.37,-136.665,524.6,5,5,,,0.1,,
396,1964,Earthquake and Landslide,33,9.2,USA,"PRINCE WILLIAM SOUND, AK",61.017,-147.648,67.1,3.5,139,,,400,,
397,1969,Earthquake and Landslide,17,5.4,PAPUA NEW GUINEA,BISMARCK SEA,-6.6,146.9,,-1,,,,,,
398,1970,Earthquake and Landslide,8,7.3,PAPUA NEW GUINEA,PAPUA NEW GUINEA,-4.907,145.471,3,0.5,18,,20,1.75,800,
399,1972,Earthquake and Landslide,25,7.6,USA,"SE. ALASKA, AK",56.82,-135.685,0.1,-2,,,,,,
400,1975,Earthquake and Landslide,2,7.7,USA,HAWAII,19.451,-155.033,14.3,3,2,,19,4,,
401,1979,Earthquake and Landslide,15,7.5,USA,"SE. ALASKA, AK",60.691,-141.671,0.15,,,,,,,
402,1980,Earthquake and Landslide,10,7.7,ALGERIA,EL ASNAM,36.195,1.354,0.7,2,5000,,9000,5200,250000,
403,1989,Earthquake and Landslide,9,6.5,USA,HAWAII,19.362,-155.083,0.29,,,,,,,
404,1995,Earthquake and Landslide,13,6.9,INDONESIA,TIMOR SEA,-8.452,125.049,4,1.5,11,,19,,,
405,1995,Earthquake and Landslide,14,6.5,GREECE,GULF OF CORINTH: AIYION,38.401,22.283,1,3,26,,60,660,,
406,1995,Earthquake and Landslide,20,6.8,JAPAN,RYUKYU ISLANDS,28.094,130.148,1.5,0.5,,,,,,
407,1998,Earthquake and Landslide,25,7,PAPUA NEW GUINEA,PAPUA NEW GUINEA,-2.943,142.582,15.03,,2205,28,1000,,,
408,2003,Earthquake and Landslide,28,7.2,NEW ZEALAND,SOUTH ISLAND,-45.104,167.144,0.15,,,,,,,
409,2007,Earthquake and Landslide,,6.2,CHILE,SOUTHERN CHILE,-45.285,-72.606,7.6,,10,,,,,2
410,2013,"Volcano, Earthquake, and Landslide",47,,PAKISTAN,OFF COAST GWADAR,25.18,62.26,0.26,,386,,816,,32638,14118
411,1952,Volcano,,,JAPAN,MYOJINSHO SUBMARINE VOLCANO,32.1,139.85,0.15,-1,,,,,,
412,1952,Volcano,,,JAPAN,MYOJINSHO SUBMARINE VOLCANO,32.1,139.85,0.05,-1,,,,,,
413,1952,Volcano,,,JAPAN,MYOJINSHO SUBMARINE VOLCANO,32.1,139.85,0.15,,31,,,,,
414,1952,Volcano,,,JAPAN,MYOJINSHO SUBMARINE VOLCANO,32.1,139.85,0.1,-1,,,,,,
415,1953,Volcano,,,JAPAN,MYOJINSHO SUBMARINE VOLCANO,32.1,139.85,6,-1,,,,,,
416,1953,Volcano,,,JAPAN,MYOJINSHO SUBMARINE VOLCANO,32.1,139.85,0.05,-1,,,,,,
417,1954,Volcano,,,ITALY,STROMBOLI ISLAND,38.789,15.213,,4,,,,,,
418,1965,Volcano,,,PHILIPPINES,"TAAL, LUZON ISLAND",14.002,120.993,4.7,,355,,,,,
419,1971,Volcano,,,SOLOMON ISLANDS,"TINAKULA, SANTA CRUZ",-10.38,165.8,,,,,,,,
420,1974,Volcano,70,,PAPUA NEW GUINEA,"RITTER ISLAND, PAPUA NEW GUINEA",-5.52,148.121,0.5,,,,,,,
421,1994,Volcano,,,PAPUA NEW GUINEA,PAPUA NEW GUINEA,-4.238,152.214,1.2,,,,,280,,
422,1996,Volcano,,,RUSSIA,"KARYMSKOYE, KAMCHATKA, RUSSIA",54.05,159.43,30,,,,,,,
423,1999,Volcano,,,MONTSERRAT,SOUFRIERE HILLS VOLCANO,16.722,-62.18,2,,,,,,,
424,2003,Volcano,,,MONTSERRAT,SOUFRIERE HILLS VOLCANO,16.722,-62.18,4,,,,,,,
425,2006,Volcano,,,MONTSERRAT,SOUFRIERE HILLS VOLCANO,16.722,-62.18,1,,,,,,,
426,2008,Volcano,,,USA,KASATOCHI,52.18,-175.5,0.19,,,,,,,
427,2010,Volcano,,,USA TERRITORY,"SOUTH OF SARIGAN IS, N. MARIANA IS",16.708,145.97,0.04,,,,,,,
428,1997,Volcano and Landslide,,,MONTSERRAT,WHITE RIVER VALLEY,16.72,-62.18,3,,,,,,,
429,2002,Volcano and Landslide,,,ITALY,STROMBOLI ISLAND,38.789,15.213,10.9,5,,,,,,
430,1952,Landslide,,,NORWAY,MID-NORWAY,64.883,12.417,2,2,,,,,,
431,1959,Landslide,,,NORWAY,NORTHERN NORWAY,69.817,20.917,,4,,,,,,
432,1963,Landslide,,,GREECE,CORINTH GULF,38.31,22.02,6,5,2,,12,,,
433,1966,Landslide,,,NORWAY,EASTERN NORWAY,59.6,10.633,,3,,,,,,
434,1974,Landslide,,,CANADA,"KITIMAT INLET, BRITISH COLOMBIA",54,-128.7,2.8,,,,,,,
435,1975,Landslide,,,CANADA,"KITIMAT INLET, BRITISH COLUMBIA",53.98,-128.68,4.1,,,,,,,
436,1978,Landslide,,,NEW ZEALAND,OFF EAST COAST OF SOUTH ISLAND,-43.08,172.97,,,,,,,,
437,1979,Landslide,,,INDONESIA,LOMBLEN ISLAND [LEMBATA],-8.6,123.5,9,,1239,,32,,,
438,1979,Landslide,,,NORWAY,NORTHERN NORWAY,65.117,12.333,2,3,,,,,,
439,1979,Landslide,,,FRANCE,FRENCH RIVIERA (LIGURIAN SEA),43.7,7.25,10,,9,,,,,
440,1983,Landslide,,,NORWAY,WESTERN NORWAY,61.233,7.717,7,4,,,,,,
441,1987,Landslide,,,NORWAY,WESTERN NORWAY,62.2,6.65,3,2,,,,,,
442,1987,Landslide,,,NEW ZEALAND,DEEP COVE,-45.46,167.15,,,,,,,,
443,1988,Landslide,,,ITALY,"LA FOSSA VOLCANO, VULCANO IS.",38.4,14.967,2,,,,,,,
444,1994,Landslide,,,NORWAY,WESTERN NORWAY,61.267,6.583,4,4,,,,,,
445,1994,Landslide,,,USA,"SKAGWAY, AK",59.5,-135.3,7.62,2.5,1,,,,,
446,1996,Landslide,,,GREECE,W. CORINTH GULF,38.367,22.083,2,2,,,,,,
447,1998,Landslide,,,NORWAY,WESTERN NORWAY,61.183,5.267,6,4,,,,,,
448,1999,Landslide,,,FRENCH POLYNESIA,FATU HIVA,-10.52,-138.67,8,,,,,,,
449,2000,Landslide,,,GREENLAND,PAATUUT (WEST GREENLAND),70.25,-52.75,50,,,,,,,
450,2007,Landslide,,,CANADA,"CHEHALIS LAKE, CHILLIWACK",49.475,-121.847,2,,,,,,,
451,2012,Landslide,,,GREENLAND,ILULISSAT ICEFJORD,69.2,-51.3,,,,,,,,
452,2013,Meteorological,,,USA,NORTHWEST ATLANTIC OCEAN,,,1.8,,,,2,,,
