Case,Year,Cause of Tsunami,Focal Depth (kilometers),Magnitude,Country,Locationname,Latitude,Longitude,Height,Intensity,Deaths,Missing,Injuries,Damage (Million USD),Houses Destroyed,Houses Damaged
56,1965,Earthquake,,7.8,MEXICO,MEXICO,16.3,-95.8,0.4,,6,,,,,
57,1966,Earthquake,,5.5,RUSSIA,BLACK SEA,44.75,37,0.2,1,,,,,,
58,1966,Earthquake,38,8.1,PERU,CENTRAL PERU,-10.748,-78.638,3,1.5,110,,3000,35,,
59,1966,Earthquake,47,7.8,CHILE,NORTHERN CHILE,-25.5,-70.7,0.42,0.5,3,,6,0.4,,
60,1966,Earthquake,83,7.8,SOLOMON ISLANDS,SANTA CRUZ ISLANDS,-11.893,166.445,2,1,,,,,,
61,1966,Earthquake,23,7.2,SOLOMON ISLANDS,SANTA CRUZ ISLANDS,-12.334,166.684,0.8,0,,,,,,
62,1967,Earthquake,10,6.5,VENEZUELA,CARACAS,10.6,-67.3,0.08,,300,,1536,140,,
63,1967,Earthquake,30,6.4,PAPUA NEW GUINEA,BISMARCK SEA,-4.4,152.5,0.1,,,,,,,
64,1968,Earthquake,40,7.3,RUSSIA,S. KURIL ISLANDS,43.586,146.701,0.18,-1,,,,,,
65,1968,Earthquake,15,7.2,GREECE,"LEMNOS ISLAND, NORTH AEGEAN SEA",39.368,24.957,1.2,3,20,,18,0.6,500,1951
66,1968,Earthquake,30,7.5,JAPAN,SEIKAIDO,32.3,132.5,3.07,1,1,,22,,,
67,1968,Earthquake,7,3.6,ITALY,LIGURIA-COTE D'AZUR,44.083,8,,2,,,,,,
68,1968,Earthquake,7,8.2,JAPAN,OFF EAST COAST OF HONSHU ISLAND,40.8,143.2,6,2,52,,330,131,1218,
69,1968,Earthquake,33,7.5,JAPAN,OFF COAST OF HONSHU ISLAND,41.5,142.7,0.58,-0.5,,,,,,
70,1968,Earthquake,44,7.2,JAPAN,SANRIKU,39.4,143.1,0.95,0,,,,,,
71,1968,Earthquake,36,7.3,PHILIPPINES,E. LUZON ISLAND,16.5,122.2,0.16,,270,,261,8,,
72,1968,Earthquake,25,7.6,INDONESIA,N. MOLUCCAS ISLANDS,1.4,126.2,0.4,1,,,,,,
73,1968,Earthquake,23,7.8,INDONESIA,BANDA SEA,0.2,119.8,10,2.5,200,,58,,800,
74,1968,Earthquake,38,6.6,TURKEY,BLACK SEA,41.8,32.3,3,,24,,200,,2000,
75,1969,Earthquake,13,6.9,INDONESIA,MAKASSAR STRAIT,-3.1,118.9,4,2,664,,97,,1287,
76,1969,Earthquake,22,7.8,PORTUGAL,PORTUGAL,36.017,-10.95,0.9,,13,,80,,,
77,1969,Earthquake,41,6.5,JAPAN,RYUKYU ISLANDS,32.2,132.1,0.1,-3,,,,,,
78,1969,Earthquake,30,8.2,RUSSIA,S. KURIL ISLANDS,43.6,147.9,5,2,,,,,,
79,1969,Earthquake,51,7.7,RUSSIA,KAMCHATKA,57.7,163.6,15,3,,,,,,
80,1969,Earthquake,7,7.2,GUADELOUPE (FRENCH TERRITORY),GRAND BOURG,15.8,-59.7,0.46,,,,,,,
81,1970,Earthquake,73,7.6,PHILIPPINES,PHILIPPINE TRENCH,6.8,126.7,0.06,,,,,,,
82,1970,Earthquake,29,6,USA,"ANDREANOF ISLANDS, AK",57.5,-153.9,0.03,,,,,,,
83,1970,Earthquake,43,7.9,PERU,N. PERU,-9.2,-78.8,0.38,,66794,,50000,530,,
84,1970,Earthquake,34,7,JAPAN,SEIKAIDO,32.2,131.7,0.32,,,,13,,,
85,1970,Earthquake,7,5.1,RUSSIA,BLACK SEA,43.84,39.34,0.8,2,,,,,,
86,1971,Earthquake,30,7.1,USA,"ANDREANOF ISLANDS, AK",51.228,-177.173,0.04,-3,,,,,,
87,1971,Earthquake,58,7.5,CHILE,CENTRAL CHILE,-32.5,-71.2,1.2,0,83,,447,236.4,,
88,1971,Earthquake,47,7.9,PAPUA NEW GUINEA,BISMARCK SEA,-5.5,153.9,6,1,4,,5,,,
89,1971,Earthquake,48,7.9,PAPUA NEW GUINEA,BISMARCK SEA,-4.9,153.2,10,1.5,,,,,,
90,1971,Earthquake,51,7.3,JAPAN,JAPAN TRENCH,41.4,143.5,0.51,-0.5,,,,,,
91,1971,Earthquake,9,7.1,RUSSIA,TATAR STRAIT,46.5,141.2,2,,,,,,,
92,1971,Earthquake,29,5.5,RUSSIA,TATAR STRAIT,46.7,141.4,0.32,,,,,,,
93,1971,Earthquake,6,6.6,RUSSIA,TATAR STRAIT,46.4,141.1,0.09,-3,,,,,,
94,1971,Earthquake,16,6.2,RUSSIA,TATAR STRAIT,46.3,140.9,0.07,-3,,,,,,
95,1971,Earthquake,21,6,RUSSIA,TATAR STRAIT,46.4,141.1,0.03,-4,,,,,,
96,1971,Earthquake,33,7.8,RUSSIA,KAMCHATKA,56,163.3,0.47,,,,,,,
97,1972,Earthquake,33,7.5,TAIWAN,E. TAIWAN,22.5,122.3,0.05,-2,1,,,,5,
98,1972,Earthquake,56,7.4,JAPAN,EAST OFF HACHIJO ISLAND,33.3,140.8,0.42,0.5,,,,,,
99,1972,Earthquake,10,7.1,PAPUA NEW GUINEA,W. SOLOMON SEA,-6,152.9,0.6,,,,,,,
100,1972,Earthquake,66,7.4,JAPAN,CHICHI JIMA,33.3,140.7,0.5,-1,,,,,,
101,1973,Earthquake,43,7.5,MEXICO,S. MEXICO,18.48,-103,1.13,,56,,390,,,
102,1973,Earthquake,27,7.2,RUSSIA,N. KURIL ISLANDS,50.5,156.6,1.5,0.5,,,,,,
103,1973,Earthquake,33,7.5,PHILIPPINES,QUEZON,13.4,122.8,1.3,,15,,64,0.45,,
104,1973,Earthquake,48,7.7,JAPAN,HOKKAIDO ISLAND,43.2,145.8,5.96,1,,,27,5,2,
105,1973,Earthquake,50,7.1,RUSSIA,S. KURIL ISLANDS,43.3,146.4,0.64,,,,1,,,
106,1973,Earthquake,,6.6,RUSSIA,S. KURIL ISLANDS,43.2,146.6,0.21,,,,,,,
107,1973,Earthquake,14,6.7,CHILE,CENTRAL CHILE,-32.5,-71.5,0.4,-1,,,,,,
108,1974,Earthquake,34,7,SOLOMON ISLANDS,SOLOMON ISLANDS,-7.5,155.9,1.5,1,,,,,,
109,1974,Earthquake,40,7.1,SOLOMON ISLANDS,SOLOMON ISLANDS,-7.4,155.6,4.5,2,,,,,,
110,1974,Earthquake,2,6.7,JAPAN,TOKAIDO,34.6,138.7,0.2,-2.5,30,,137,,134,
111,1974,Earthquake,43,6.7,RUSSIA,S. KURIL ISLANDS,43.2,146.7,0.37,-1,,,,,,
112,1974,Earthquake,13,8.1,PERU,CENTRAL PERU,-12.27,-77.79,0.92,1,78,,2414,10,,
113,1975,Earthquake,33,7.7,ATLANTIC OCEAN,AZORES GIBRALTAR FRACTURE ZONE,35.997,-17.649,0.76,,,,,,,
114,1975,Earthquake,15,7,RUSSIA,S. KURIL ISLANDS,43.024,147.734,5.5,2,,,,,,
115,1975,Earthquake,49,7.9,PAPUA NEW GUINEA,SOLOMON SEA,-6.59,155.054,2,1,,,,,,
116,1975,Earthquake,50,7.6,PHILIPPINES,PHILIPPINE TRENCH,12.54,125.993,3,-1.5,1,,,,30,
117,1975,Earthquake,33,7.8,SAMOA,SAMOA ISLANDS,-16.265,-172.467,0.38,,,,,,,
118,1976,Earthquake,33,8,NEW ZEALAND,KERMADEC ISLANDS,-28.427,-177.657,0.9,,,,,,,
119,1976,Earthquake,41,7,RUSSIA,S. KURIL ISLANDS,44.915,149.123,0.38,-2.5,,,,,,
120,1976,Earthquake,5,7.5,GUATEMALA,GUATEMALA,15.324,-89.101,0.12,,23000,,76000,2147,,
121,1976,Earthquake,33,8,PHILIPPINES,MORO GULF,6.292,124.09,8.5,2.5,5066,,8256,134,,
122,1977,Earthquake,33,7.6,SAMOA,SAMOA ISLANDS,-16.696,-172.095,0.08,-2,,,,,,
123,1977,Earthquake,33,6.8,SOLOMON ISLANDS,SOLOMON ISLANDS,-9.828,163.323,0.15,-1,34,,,,,
124,1977,Earthquake,19,7.6,SOLOMON ISLANDS,SOLOMON ISLANDS,-9.89,160.348,,,,,,,,
125,1977,Earthquake,33,8.1,SOLOMON ISLANDS,SOLOMON ISLANDS,-9.965,160.731,0.04,-1.5,18,,1,,,
126,1977,Earthquake,65,7.2,TONGA,TONGA TRENCH,-22.878,-175.9,0.4,,,,,,,
127,1977,Earthquake,33,8,INDONESIA,SUNDA ISLANDS,-11.085,118.464,15,3,189,,75,1.2,,
128,1978,Earthquake,,6.6,JAPAN,TOKAIDO,34.809,139.259,0.35,,25,,129,,85,544
129,1978,Earthquake,33,6.7,RUSSIA,S. KURIL ISLANDS,44.026,149.002,0.07,-2.5,,,,,,
130,1978,Earthquake,33,6.6,RUSSIA,S. KURIL ISLANDS,44.14,149.029,0.05,-3,,,,,,
131,1978,Earthquake,46,6.8,RUSSIA,S. KURIL ISLANDS,44.209,148.971,0.17,-1.5,,,,,,
